index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,,year
38,Elsternwick,5/29 Nepean Hwy,2,u,410000,VB,Gary,5/28/2016,8.5,3185,0,0,0,0,126,1970,Glen Eira,-37.8863,144.9996,Southern Metropolitan,4898,,2016
39,Sunshine North,13 Wiltshire St,3,h,620500,S,Sweeney,6/4/2016,13.3,3020,3,1,1,609,126,1970,Brimbank,-37.7754,144.846,Western Metropolitan,4217,,2016
40,Fawkner,1/12 Brooks St,3,t,460000,SP,Eview,10/15/2016,12.4,3060,3,1,1,314,112,1970,Moreland,-37.7066,144.9733,Northern Metropolitan,5070,,2016
41,Werribee,17 Xavier Ct,4,h,510000,SP,YPA,7/22/2017,14.7,3030,4,2,1,531,147,2003,Wyndham,-37.89556,144.64268,Western Metropolitan,16166,,2017
42,Hawthorn East,16/799 Burwood Rd,2,u,444000,S,LITTLE,6/18/2016,7.5,3123,2,1,1,0,68,1970,Boroondara,-37.8245,145.0527,Southern Metropolitan,6482,,2016
43,Ashburton,69 Albion Rd,3,h,1670000,S,Jellis,12/3/2016,11,3147,3,2,2,599,220,1930,Boroondara,-37.8673,145.0688,Southern Metropolitan,3052,,2016
44,Prahran,11A Percy St,2,h,1310000,S,hockingstuart,8/12/2017,4.6,3181,2,2,1,78,126,1970,Stonnington,-37.85083,144.99092,Southern Metropolitan,7717,,2017
45,Hawthorn,17/17 Park St,1,u,160000,VB,HAR,4/8/2017,4.6,3122,1,1,0,322,126,2009,Boroondara,-37.8198,145.0373,Southern Metropolitan,11308,,2017
46,Balwyn North,10 Seattle St,4,h,1500000,VB,Jellis,5/7/2016,9.2,3104,3,2,2,610,126,1970,Boroondara,-37.784,145.0878,Southern Metropolitan,7809,,2016
47,Pascoe Vale,3 Fawkner Rd,3,h,940000,S,Nelson,9/17/2016,9.9,3044,3,1,1,589,126,1970,Moreland,-37.7282,144.9312,Northern Metropolitan,7485,,2016
48,Vermont,73 Nurlendi Rd,4,h,1263500,S,Barry,8/26/2017,17.2,3133,4,2,2,791,126,1970,,-37.84467,145.19276,Eastern Metropolitan,4181,,2017
49,Wyndham Vale,6 Melliodora Ct,4,h,500000,SP,YPA,8/12/2017,27.2,3024,4,2,1,512,179,2005,Wyndham,-37.87959,144.60977,Western Metropolitan,5262,,2017
50,Balwyn North,85 Clifton St,4,h,1400000,VB,hockingstuart,9/23/2017,9.7,3104,4,2,1,629,126,1970,,-37.79241,145.10445,Southern Metropolitan,7809,,2017
51,Croydon,24 Abraham Dr,4,h,720000,S,Ray,5/27/2017,23,3136,4,2,3,879,126,1970,Maroondah,-37.79079,145.30208,Eastern Metropolitan,11925,,2017
52,Essendon,4 Agatha St,3,h,1240000,S,Nelson,10/8/2016,8,3040,3,2,2,307,126,1970,Moonee Valley,-37.7543,144.9249,Western Metropolitan,9264,,2016
53,Coburg,110 Bell St,3,h,710000,S,Barry,4/29/2017,7.8,3058,3,1,1,160,120,1970,Moreland,-37.7411,144.9657,Northern Metropolitan,11204,,2017
54,Murrumbeena,116/41 Murrumbeena Rd,2,u,500000,VB,Beller,9/24/2016,12.1,3163,2,2,1,5289,70,2013,Glen Eira,-37.8882,145.0666,Southern Metropolitan,4442,,2016
55,Malvern,22 Milton Pde,3,h,2415000,S,Jellis,10/15/2016,7.4,3144,3,1,3,696,128,1910,Stonnington,-37.8462,145.0386,Southern Metropolitan,4675,,2016
56,Wantirna South,3 Jonathon Ct,5,h,1400000,S,Barry,9/23/2017,14.7,3152,5,2,2,796,126,1970,,-37.87079,145.22988,Eastern Metropolitan,7082,,2017
57,South Yarra,202/8 Bond St,2,u,850000,PI,Kay,12/3/2016,3.3,3141,2,2,2,0,86,2014,Stonnington,-37.8411,144.9944,Southern Metropolitan,14887,,2016
58,South Yarra,403/79 River St,2,u,850000,S,hockingstuart,4/22/2017,3.3,3141,2,2,2,17200,126,2000,Stonnington,-37.8361,144.9966,Southern Metropolitan,14887,,2017
59,Reservoir,4/1 Ashley St,2,u,427500,S,Love,11/7/2016,11.2,3073,2,1,1,146,84,1980,Darebin,-37.719,145.0014,Northern Metropolitan,21650,,2016
60,The Basin,5 Democrat Dr,3,h,700000,S,iTRAK,9/23/2017,27,3154,3,2,3,795,126,1970,,-37.85229,145.30281,Eastern Metropolitan,1690,,2017
61,Clifton Hill,7/16 The Esplanade,2,u,591000,S,Ray,7/29/2017,3.6,3068,2,1,1,0,64,1970,Yarra,-37.78791,145.00588,Northern Metropolitan,2954,,2017
62,Balwyn North,3/1 Corhampton Rd,2,h,685000,SP,Jellis,5/22/2016,9.2,3104,2,1,1,177,85,1975,Boroondara,-37.7935,145.0679,Southern Metropolitan,7809,,2016
63,Maribyrnong,11 Maireana St,4,h,1085000,SP,Biggin,6/3/2017,4.3,3032,4,2,2,238,221.3,2007,Maribyrnong,-37.7833,144.89717,Western Metropolitan,4918,,2017
64,Glen Iris,51 Dent St,4,h,2020000,PI,Marshall,9/10/2016,9.2,3146,4,2,2,630,351,2009,Boroondara,-37.8667,145.0752,Southern Metropolitan,10412,,2016
65,Oak Park,20 Lex Gr,4,h,1005000,S,Stockdale,11/19/2016,11.5,3046,4,1,1,780,126,1970,Moreland,-37.7182,144.9246,Northern Metropolitan,2651,,2016
66,Ormond,616 North Rd,2,h,765000,S,Eview,5/14/2016,11.8,3204,2,1,2,300,126,1970,Glen Eira,-37.9045,145.0426,Southern Metropolitan,3578,,2016
67,Forest Hill,4 Sapphire St,4,h,1372000,S,Ray,7/1/2017,15.4,3131,4,1,2,866,126,1970,Whitehorse,-37.83816,145.17783,Eastern Metropolitan,4385,,2017
68,South Melbourne,52 Eastern Rd,3,h,2525000,S,Marshall,11/27/2016,2.1,3205,3,2,1,234,126,1863,Port Phillip,-37.8355,144.9663,Southern Metropolitan,5943,,2016
69,Surrey Hills,47 Suffolk Rd,3,h,2200000,VB,Fletchers,9/10/2016,11.2,3127,3,2,4,816,126,1970,Boroondara,-37.8304,145.0934,Southern Metropolitan,5457,,2016
70,Northcote,238 Victoria Rd,3,h,1190000,S,Nelson,11/12/2016,5.5,3070,3,1,1,445,125,1920,Darebin,-37.7652,145.0123,Northern Metropolitan,11364,,2016
71,Reservoir,20 Rodman St,3,h,737000,S,Barry,5/28/2016,11.2,3073,2,3,6,957,126,1970,Darebin,-37.7012,145.0069,Northern Metropolitan,21650,,2016
72,Bentleigh East,26 May St,3,h,1525000,PI,Buxton,6/17/2017,13.8,3165,3,1,3,581,128,1940,Glen Eira,-37.9178,145.05414,Southern Metropolitan,10969,,2017
73,Melbourne,405/270 King St,2,u,360000,VB,LITTLE,11/7/2016,2.8,3000,2,1,0,0,66,1974,Melbourne,-37.8138,144.9548,Northern Metropolitan,17496,,2016
74,Fairfield,11/272 Heidelberg Rd,2,u,676000,S,Jellis,5/6/2017,5.8,3078,2,1,1,0,87,2002,Yarra,-37.7847,145.0109,Northern Metropolitan,2970,,2017
75,Footscray,3/8 Eleanor St,2,h,375000,S,Sweeney,5/7/2016,6.4,3011,2,1,1,0,126,1968,Maribyrnong,-37.7906,144.8856,Western Metropolitan,7570,,2016
76,Melbourne,14/2 Exhibition St,2,u,1160500,S,Kay,3/4/2017,2.8,3000,2,2,1,4230,126,2006,Melbourne,-37.8157,144.9727,Northern Metropolitan,17496,,2017
77,Armadale,2/532 Orrong Rd,2,u,565000,S,Ray,8/28/2016,6.3,3143,3,1,1,0,126,1970,Stonnington,-37.8573,145.0112,Southern Metropolitan,4836,,2016
78,West Melbourne,207/493 Victoria St,2,u,510000,S,McGrath,7/8/2017,3.1,3003,2,1,1,75,66,2007,Melbourne,-37.80473,144.9435,Northern Metropolitan,2230,,2017
79,Altona North,23 Rymill Ct,3,h,910000,S,hockingstuart,4/29/2017,11.1,3025,3,1,3,535,132,1970,Hobsons Bay,-37.8322,144.8399,Western Metropolitan,5132,,2017
80,Reservoir,2/2 Elsey Rd,2,u,525000,S,Harcourts,4/23/2016,11.2,3073,3,1,2,284,126,2014,Darebin,-37.705,145.0152,Northern Metropolitan,21650,,2016
81,North Melbourne,18/375 Abbotsford St,3,u,681000,S,JMRE,7/29/2017,1.8,3051,3,1,1,1843,126,1960,Melbourne,-37.79773,144.94611,Northern Metropolitan,6821,,2017
82,Bentleigh,4 Clairmont Av,4,h,2210000,S,Jellis,9/16/2017,11.4,3204,4,3,2,557,233,1940,,-37.92098,145.02422,Southern Metropolitan,6795,,2017
83,Moorabbin,163 Rowans Rd,3,h,836000,S,Woodards,12/3/2016,14.6,3189,3,1,4,695,165,1970,Kingston,-37.9364,145.0559,Southern Metropolitan,2555,,2016
84,Hawthorn,8/9 Coppin Gr,2,u,1022000,S,Jellis,6/3/2017,5.3,3122,2,1,1,2267,104,1930,Boroondara,-37.82193,145.01749,Southern Metropolitan,11308,,2017
85,Preston,82 Murray Rd,3,h,721000,S,Stockdale,12/3/2016,8.8,3072,3,1,1,581,126,1970,Darebin,-37.7399,145.0228,Northern Metropolitan,14577,,2016
86,St Kilda,37/151 Fitzroy St,2,u,571000,S,Whiting,6/12/2016,6.1,3182,2,1,1,7458,126,1970,Port Phillip,-37.8591,144.979,Southern Metropolitan,13240,,2016
87,Malvern,5a Ewart St,3,h,1970000,S,Marshall,6/27/2016,7.4,3144,3,2,1,246,106,1910,Stonnington,-37.871,145.0364,Southern Metropolitan,4675,,2016
88,South Yarra,26 Howitt St,2,u,851000,S,Biggin,5/20/2017,3.3,3141,2,1,1,284,126,1970,Stonnington,-37.8471,145.0019,Southern Metropolitan,14887,,2017
89,Pascoe Vale,2/36 Alpine Gr,3,t,600000,VB,hockingstuart,11/27/2016,9.9,3044,3,2,1,122,139,1998,Moreland,-37.7231,144.9373,Northern Metropolitan,7485,,2016
90,Mooroolbark,188 Cardigan Rd,5,h,872000,SP,Max,6/3/2017,26.5,3138,5,2,2,1254,186.75,1980,Yarra Ranges,-37.79026,145.33738,Eastern Victoria,8280,,2017
91,Mill Park,46 Buckmaster Dr,3,h,775500,S,Harcourts,7/15/2017,17.9,3082,3,1,4,840,125,1980,Whittlesea,-37.66919,145.06799,Northern Metropolitan,10529,,2017
92,South Yarra,37/12 Copelen St,2,t,1050000,S,Kay,6/17/2017,2.7,3141,2,1,1,0,126,1970,Stonnington,-37.83543,144.99907,Southern Metropolitan,14887,,2017
93,South Yarra,5/6 Tivoli Pl,2,u,863000,S,hockingstuart,3/4/2017,3.3,3141,2,2,1,742,126,1950,Melbourne,-37.8357,144.9867,Southern Metropolitan,14887,,2017
94,Tarneit,5 Echo Av,4,h,496000,S,Greg,7/8/2017,18.4,3029,4,2,2,448,126,2008,Wyndham,-37.84688,144.68182,Western Metropolitan,10160,,2017
95,Fawkner,17 James St,3,h,665000,S,hockingstuart,11/7/2016,12.4,3060,3,1,1,726,126,1970,Moreland,-37.7104,144.9733,Northern Metropolitan,5070,,2016
96,Oakleigh South,107 Golf Rd,3,h,1067000,S,Woodards,2/25/2017,14.7,3167,3,1,2,648,122,1940,Monash,-37.9196,145.0876,South-Eastern Metropolitan,3692,,2017
97,Dandenong,5/6 MacPherson St,2,u,348000,S,McLennan,7/1/2017,24.7,3175,2,1,0,156,126,1970,Greater Dandenong,-37.98712,145.22262,South-Eastern Metropolitan,10894,,2017
98,Moonee Ponds,102 Waverley St,4,h,1270000,S,Jellis,7/8/2017,6.2,3039,4,1,3,478,152,1925,Moonee Valley,-37.76421,144.90571,Western Metropolitan,6232,,2017
99,Brunswick,3/4 Mitchell St,2,t,605000,PI,Jellis,5/7/2016,5.2,3056,2,1,1,0,78,2009,Moreland,-37.7588,144.9646,Northern Metropolitan,11918,,2016
100,Essendon,26 Brewster St,4,h,1965000,S,McDonald,3/4/2017,8,3040,4,2,4,704,126,1970,Moonee Valley,-37.7509,144.9219,Western Metropolitan,9264,,2017
101,Brunswick,10 Cliff St,1,h,772000,SP,Collins,8/28/2016,5.2,3056,1,1,1,147,82,1890,Moreland,-37.7643,144.9584,Northern Metropolitan,11918,,2016
102,Seaford,10 Maple St,4,h,763000,S,U,7/15/2017,35.4,3198,4,2,4,611,184.75,1980,Frankston,-38.10226,145.14459,South-Eastern Metropolitan,8077,,2017
103,St Kilda,9/12 Acland St,1,u,452000,S,RT,2/25/2017,6.1,3182,1,1,1,0,126,1970,Port Phillip,-37.8631,144.9749,Southern Metropolitan,13240,,2017
104,Ascot Vale,47 Hurtle St,2,h,940000,S,Nelson,5/7/2016,5.9,3032,2,1,1,330,126,1970,Moonee Valley,-37.773,144.9049,Western Metropolitan,6567,,2016
105,Cheltenham,3/33 Sunray Av,2,t,751000,S,Buxton,7/29/2017,17.9,3192,2,1,1,171,126,1970,Kingston,-37.96304,145.06421,Southern Metropolitan,9758,,2017
106,Sunshine,81 Parsons St,3,h,1070000,S,Bells,5/27/2017,10.5,3020,3,2,2,573,198,1940,Brimbank,-37.79127,144.83713,Western Metropolitan,3755,,2017
107,Parkdale,13B Elm Gr,3,t,1000000,S,Obrien,7/1/2017,21.5,3195,3,2,2,298,124,1995,Kingston,-37.99464,145.08099,South-Eastern Metropolitan,5087,,2017
108,Collingwood,130 Keele St,2,h,890000,S,LITTLE,9/3/2016,1.6,3066,2,1,1,178,70,1900,Yarra,-37.7974,144.9915,Northern Metropolitan,4553,,2016
109,Berwick,33 Jane St,3,h,620000,S,C21,7/29/2017,35.2,3806,3,1,2,792,101,1970,Casey,-38.03517,145.33886,Eastern Victoria,17093,,2017
110,Templestowe Lower,5 Sophora Ct,3,h,1138000,S,Barry,7/8/2017,12.4,3107,3,2,2,706,184,1970,Manningham,-37.77185,145.12509,Eastern Metropolitan,5420,,2017
111,Elsternwick,78a Allison Rd,2,h,900000,VB,Gary,10/15/2016,8.5,3185,2,1,1,198,126,1970,Glen Eira,-37.8824,145.0133,Southern Metropolitan,4898,,2016
112,Glen Iris,78 Valley Pde,4,h,2725000,S,Marshall,2/25/2017,9.2,3146,4,3,2,603,246,2007,Boroondara,-37.8521,145.0657,Southern Metropolitan,10412,,2017
113,Fitzroy,5/113 Cecil St,1,u,597000,S,Harrington,6/18/2016,1.6,3065,1,1,1,0,126,2000,Yarra,-37.7941,144.9802,Northern Metropolitan,5825,,2016
114,Altona North,1/95 Mills St,3,h,588000,S,Williams,5/7/2016,11.1,3025,3,1,1,328,118,1970,Hobsons Bay,-37.838,144.8555,Western Metropolitan,5132,,2016
115,Altona Meadows,2/6 Carling Ct,3,u,440500,S,Greg,7/15/2017,15.5,3028,3,1,1,205,126,1990,Hobsons Bay,-37.88995,144.78505,Western Metropolitan,7630,,2017
116,Cremorne,443 Punt Rd,3,h,1475000,PI,Biggin,9/10/2016,2.5,3121,3,2,2,324,165,1880,Yarra,-37.8278,144.9885,Northern Metropolitan,1123,,2016
117,Yarraville,76 Bishop St,4,h,1235000,SP,Jas,3/4/2017,7,3013,4,2,2,244,206,2011,Maribyrnong,-37.8139,144.8741,Western Metropolitan,6543,,2017
118,Bentleigh,2 Delhi St,2,h,1402000,S,Woodards,5/6/2017,13,3204,2,1,4,616,126,1970,Glen Eira,-37.9257,145.0469,Southern Metropolitan,6795,,2017
119,Mont Albert,6 Serpentine St,5,h,1815000,S,Jellis,11/19/2016,11.8,3127,5,1,0,711,207,1950,Whitehorse,-37.8195,145.1134,Eastern Metropolitan,2079,,2016
120,Williamstown North,4/4 Florence St,2,t,500000,VB,Village,9/3/2016,8.9,3016,2,1,1,53,126,1970,Hobsons Bay,-37.8563,144.8782,Western Metropolitan,802,,2016
121,Seddon,22 Alfred St,3,h,1080000,VB,Village,3/18/2017,6.6,3011,3,1,0,234,111,1900,Maribyrnong,-37.8051,144.8858,Western Metropolitan,2417,,2017
122,East Melbourne,110 Vale St,2,h,4525000,S,Caine,12/3/2016,1.5,3002,2,2,1,220,279,1970,Melbourne,-37.8181,144.9879,Northern Metropolitan,3040,,2016
123,Bellfield,373 Waterdale Rd,3,u,676000,S,Barry,7/30/2016,9.5,3081,3,1,0,605,126,1970,Banyule,-37.7516,145.0457,Eastern Metropolitan,790,,2016
124,Richmond,303/18 Tanner St,2,h,270000,PI,Dingle,10/8/2016,2.6,3121,2,1,1,0,60,2004,Yarra,-37.8231,144.9906,Northern Metropolitan,14949,,2016
125,Doncaster East,21 Gaudion Rd,4,h,1310000,S,Barry,9/23/2017,14.3,3109,4,2,2,664,126,1970,,-37.77472,145.15197,Eastern Metropolitan,10999,,2017
126,Ascot Vale,3/28 Ormond Rd,2,u,432000,S,Biggin,10/15/2016,5.9,3032,2,1,1,0,62,1978,Moonee Valley,-37.773,144.9303,Western Metropolitan,6567,,2016
127,Murrumbeena,12 Wahroongaa Rd,3,h,1420000,S,Woodards,8/13/2016,12.1,3163,3,1,1,700,126,1970,Glen Eira,-37.8887,145.0718,Southern Metropolitan,4442,,2016
128,Brunswick,329 Brunswick Rd,4,h,1175000,PI,Jellis,11/27/2016,5.2,3056,4,1,2,319,1,1970,Moreland,-37.7763,144.9549,Northern Metropolitan,11918,,2016
129,Williamstown,146 Ferguson St,3,h,832000,S,Williams,9/23/2017,6.8,3016,3,1,1,269,126,1970,,-37.85808,144.89268,Western Metropolitan,6380,,2017
130,Footscray,11/44 Everard St,2,u,431000,SP,Jas,12/3/2016,6.4,3011,2,1,1,0,126,1970,Maribyrnong,-37.7963,144.8853,Western Metropolitan,7570,,2016
131,Ivanhoe,16 Ayton St,3,h,950000,VB,Miles,11/19/2016,7.9,3079,3,3,2,290,126,1970,Banyule,-37.7601,145.0363,Eastern Metropolitan,5549,,2016
132,Avondale Heights,9 Thompson St,4,h,934000,S,Moonee,7/15/2017,9.5,3034,4,2,1,581,163,1975,Moonee Valley,-37.76421,144.85594,Western Metropolitan,4502,,2017
133,Croydon Hills,8 Wildberry Cl,4,h,905000,S,Fletchers,5/27/2017,23,3136,4,2,2,731,178,1985,Maroondah,-37.78021,145.26367,Eastern Metropolitan,1705,,2017
134,Altona,7 Maidstone St,2,h,1030000,S,Barlow,5/27/2017,11,3018,2,1,1,743,126,1970,Hobsons Bay,-37.8732,144.81331,Western Metropolitan,5301,,2017
135,Keilor East,43 The Crossway,3,h,860000,S,Nelson,7/15/2017,11.7,3033,3,1,1,568,126,1960,Moonee Valley,-37.7465,144.8613,Western Metropolitan,5629,,2017
136,Bentleigh East,177 Bignell Rd,3,h,1110000,S,hockingstuart,2/25/2017,13.9,3165,3,1,6,542,538,1970,Glen Eira,-37.9272,145.0705,Southern Metropolitan,10969,,2017
137,Armadale,8/58 Sutherland Rd,2,u,592500,S,hockingstuart,12/10/2016,6.3,3143,2,1,1,0,73,1970,Stonnington,-37.8574,145.0174,Southern Metropolitan,4836,,2016
138,Ascot Vale,5/9 Sandown Rd,4,t,900000,SP,Alexkarbon,5/13/2017,5.9,3032,4,3,2,0,159,2011,Moonee Valley,-37.7831,144.9209,Western Metropolitan,6567,,2017
139,Pascoe Vale,4 Dixon St,2,h,750000,PI,Nelson,5/6/2017,9.9,3044,2,1,2,531,126,1970,Moreland,-37.7189,144.9508,Northern Metropolitan,7485,,2017
140,Altona,1/123 Blyth St,2,t,720000,S,hockingstuart,2/4/2016,13.8,3018,2,1,2,292,125,2013,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301,,2016
141,Sunshine,18 Barnett St,3,h,700000,SP,Bells,5/22/2016,12.6,3020,3,1,4,505,75,1960,Brimbank,-37.7817,144.8448,Western Metropolitan,3755,,2016
142,Niddrie,24 The Avenue,3,h,850000,PI,Barry,4/8/2017,11.2,3042,3,2,2,795,126,1970,Moonee Valley,-37.736,144.8771,Western Metropolitan,2291,,2017
143,Essendon,141 Rose St,3,h,2390000,S,Barry,11/7/2016,8,3040,3,1,1,669,126,1970,Moonee Valley,-37.7534,144.9154,Western Metropolitan,9264,,2016
144,Melton South,44 Brooklyn Rd,3,h,465000,S,Reliance,6/24/2017,29.8,3338,3,1,2,615,126,1980,Melton,-37.7024,144.57153,Western Victoria,4718,,2017
145,Alphington,44 Naroon Rd,3,h,1540000,S,Nelson,4/16/2016,6.4,3078,3,1,2,592,126,1970,Darebin,-37.7755,145.0288,Northern Metropolitan,2211,,2016
146,Brighton East,7 Balfour St,4,h,1940000,S,hockingstuart,9/3/2016,10.7,3187,4,2,2,682,240,1960,Bayside,-37.9205,145.0122,Southern Metropolitan,6938,,2016
